ID,Original_Message,Extremism_Label,target,llm_prob
1,sixth forms should burn to the ground,EXTREMIST,1,0.9998313188552856
2,whatever should burn benders to the ground,EXTREMIST,1,0.9944880604743958
3,factories should burn to the ground,EXTREMIST,1,0.9995307922363281
4,halal factories should burn to the ground,EXTREMIST,1,0.9994207620620728
5,nhs should burn to the ground,EXTREMIST,1,0.9997487664222717
6,nhs should burn to the ground because it is full of foreigners,EXTREMIST,1,0.9996215105056763
7,around the world you will find a number of people who stab others are black men,EXTREMIST,1,0.9942025542259216
8,around the world you will find a number of people who are women you should kill every single one,EXTREMIST,1,0.9999531507492065
9,around the world you will find a number of people who are travelers then you will want to kill yourself,EXTREMIST,1,0.999099612236023
10,the malala fund is trash let us shoot the stupid muslim,EXTREMIST,1,0.9968519806861877
11,ill kill you so you do not exist anymore,EXTREMIST,1,0.9967648983001709
12,ill kill you niggers so you do not exist anymore,EXTREMIST,1,0.9998717308044434
13,ill kill your family so they do not exist anymore,EXTREMIST,1,0.9997197985649109
14,l ll kill all hijabs so they do not exist anymore,EXTREMIST,1,0.9999285936355591
15,ill kill you so you do not bother me anymore,EXTREMIST,1,0.9961305856704712
16,i will kill fags so they do not bother me anymore,EXTREMIST,1,0.9991238713264465
17,ill kill your family so they do not bother me anymore,EXTREMIST,1,0.9995362758636475
18,ill kill you all so you do not exist anymore,EXTREMIST,1,0.9998756647109985
19,ill kill you all so you do not exist anymore jewish scum,EXTREMIST,1,0.999523401260376
20,ill kill you all so you do not bother me anymore,EXTREMIST,1,0.9981030225753784
21,ill kill all you women so you do not reject me anymore,EXTREMIST,1,0.9987207055091858
22,she should be banned for life for defending muslims against terrorism,EXTREMIST,1,0.568116307258606
23,ill kill him so he does not bother me anymore,EXTREMIST,1,0.996936559677124
24,i will kill this afro american so he does not bother us anymore,EXTREMIST,1,0.9996387958526611
25,ill kill her so she does not bother me anymore,EXTREMIST,1,0.9993487000465393
26,ill kill her so she does not bother me anymore i kill all muslims in my head,EXTREMIST,1,0.9990854263305664
27,ill kill him so he does not exist anymore,EXTREMIST,1,0.9978760480880737
28,i shall kill every immigrant so they do not exist anymore,EXTREMIST,1,0.9998960494995117
29,ill kill her so she does not exist anymore,EXTREMIST,1,0.9993067979812622
30,ill kill her so she does not exist anymore fucking lesbian,EXTREMIST,1,0.999045193195343
31,ill kill them so they do not exist anymore,EXTREMIST,1,0.9983385801315308
32,ill kill them so they do not exist anymore fucking gays,EXTREMIST,1,0.9997884631156921
33,ill kill them so they do not bother me anymore,EXTREMIST,1,0.997166097164154
34,ill kill them fags so they do not bother me anymore,EXTREMIST,1,0.9991474151611328
35,i hate wearing my hijab because people think i am a terrorist,NON_EXTREMIST,0,0.3663630187511444
36,peta are a bunch of fucking whiners shoot them all,EXTREMIST,1,0.9978760480880737
37,natives are a bunch of fucking whiners let us shoot them all,EXTREMIST,1,0.9999239444732666
38,peta are a bunch of brainless morons shoot them now,EXTREMIST,1,0.9997346997261047
39,asylum seekers are a bunch of brainless morons shoot them now,EXTREMIST,1,0.999854564666748
40,i hate being muslim in a city where everyone thinks i am a terrorist,NON_EXTREMIST,0,0.6158390045166016
