ID,Original_Message,Extremism_Label,target,llm_prob,lexicon_score,lexicon_score_log
1,sixth forms should burn to the ground,EXTREMIST,1,0.9934611320495605,9.305497047092008,1.591495293380036
2,whatever should burn benders to the ground,EXTREMIST,1,0.9996699094772339,10.785266224687073,1.591495293380036
3,factories should burn to the ground,EXTREMIST,1,0.9988707900047302,9.305497047092008,1.591495293380036
4,halal factories should burn to the ground,EXTREMIST,1,0.9989308714866638,5231.237611929598,1.9032749174108767
5,nhs should burn to the ground,EXTREMIST,1,0.9993857145309448,9.305497047092008,1.591495293380036
6,nhs should burn to the ground because it is full of foreigners,EXTREMIST,1,0.9993880987167358,9.904304975576435,1.591495293380036
7,around the world you will find a number of people who stab others are black men,EXTREMIST,1,0.9986541271209717,12.127131472318098,0.8298528775713262
8,around the world you will find a number of people who are women you should kill every single one,EXTREMIST,1,0.9995971322059631,12.125751823598064,1.6381671669976354
9,around the world you will find a number of people who are travelers then you will want to kill yourself,EXTREMIST,1,0.9997325539588928,10.617578697416834,1.6381671669976354
10,the malala fund is trash let us shoot the stupid muslim,EXTREMIST,1,0.9998286962509155,18.928447830457305,1.946292302494568
11,ill kill you so you do not exist anymore,EXTREMIST,1,0.9970765113830566,21774.367048347576,3.2154613063770463
12,ill kill you niggers so you do not exist anymore,EXTREMIST,1,0.9997565150260925,28736.943201524253,3.2154613063770463
13,ill kill your family so they do not exist anymore,EXTREMIST,1,0.9988752007484436,21776.091472806856,3.2154613063770463
14,l ll kill all hijabs so they do not exist anymore,EXTREMIST,1,0.9994162321090698,21765.936528768874,3.2154613063770463
15,ill kill you so you do not bother me anymore,EXTREMIST,1,0.9961903095245361,21781.25631728123,3.2154613063770463
16,i will kill fags so they do not bother me anymore,EXTREMIST,1,0.9991306662559509,21773.57099229612,3.2154613063770463
17,ill kill your family so they do not bother me anymore,EXTREMIST,1,0.9993809461593628,21782.98074174051,3.2154613063770463
18,ill kill you all so you do not exist anymore,EXTREMIST,1,0.9993513226509094,21774.367048347576,3.2154613063770463
19,ill kill you all so you do not exist anymore jewish scum,EXTREMIST,1,0.9960699081420898,26996.44725099543,3.2154613063770463
20,ill kill you all so you do not bother me anymore,EXTREMIST,1,0.9992445707321167,21781.25631728123,3.2154613063770463
21,ill kill all you women so you do not reject me anymore,EXTREMIST,1,0.9996898174285889,21772.37089604552,3.2154613063770463
22,she should be banned for life for defending muslims against terrorism,EXTREMIST,1,0.9935368895530701,7.938361927000879,1.2885993522924273
23,ill kill him so he does not bother me anymore,EXTREMIST,1,0.9972531199455261,21781.25631728123,3.2154613063770463
24,i will kill this afro american so he does not bother us anymore,EXTREMIST,1,0.9997884631156921,21773.783941098234,3.2154613063770463
25,ill kill her so she does not bother me anymore,EXTREMIST,1,0.9997933506965637,21781.25631728123,3.2154613063770463
26,ill kill her so she does not bother me anymore i kill all muslims in my head,EXTREMIST,1,0.9996229410171509,21786.36640637611,3.2154613063770463
27,ill kill him so he does not exist anymore,EXTREMIST,1,0.9975844621658325,21774.367048347576,3.2154613063770463
28,i shall kill every immigrant so they do not exist anymore,EXTREMIST,1,0.9997565150260925,21767.741061624445,3.2154613063770463
29,ill kill her so she does not exist anymore,EXTREMIST,1,0.9998464584350586,21774.367048347576,3.2154613063770463
30,ill kill her so she does not exist anymore fucking lesbian,EXTREMIST,1,0.9973887801170349,21774.932977530443,3.2154613063770463
31,ill kill them so they do not exist anymore,EXTREMIST,1,0.9998952150344849,21774.367048347576,3.2154613063770463
32,ill kill them so they do not exist anymore fucking gays,EXTREMIST,1,0.9998902082443237,21776.27419655433,3.2154613063770463
33,ill kill them so they do not bother me anymore,EXTREMIST,1,0.9993067979812622,21781.25631728123,3.2154613063770463
34,ill kill them fags so they do not bother me anymore,EXTREMIST,1,0.999713122844696,21782.00151187482,3.2154613063770463
35,i hate wearing my hijab because people think i am a terrorist,NON_EXTREMIST,0,0.5391955375671387,4.949533720879712,0.7756750918695154
36,peta are a bunch of fucking whiners shoot them all,EXTREMIST,1,0.9997108578681946,19.803608669337898,1.7491242375836191
37,natives are a bunch of fucking whiners let us shoot them all,EXTREMIST,1,0.9998162388801575,16.518589515935172,1.946292302494568
38,peta are a bunch of brainless morons shoot them now,EXTREMIST,1,0.9998390674591064,19.237679486471404,1.7491242375836191
39,asylum seekers are a bunch of brainless morons shoot them now,EXTREMIST,1,0.9777563810348511,20.19485018461369,1.3436591294754547
41,i want to kill every single chinese in this city they make me sick,EXTREMIST,1,0.9997603297233582,13.530634774589368,1.6381671669976354
42,society sucks because whatever do not kill enough people like you,EXTREMIST,1,0.9958821535110474,13.646300641825572,1.6381671669976354
43,society sucks because whatever do not kill enough brown people like you,EXTREMIST,1,0.9998427629470825,15.562046649202744,1.6381671669976354
44,society sucks because whatever do not kill enough people like him,EXTREMIST,1,0.9990781545639038,13.646300641825572,1.6381671669976354
45,society sucks because whatever do not kill enough people like him i e amoral muslims,EXTREMIST,1,0.9996287822723389,17.478874224648205,1.6381671669976354
46,society sucks because whatever do not kill enough people like her,EXTREMIST,1,0.996292769908905,13.646300641825572,1.6381671669976354
47,society sucks because whatever do not kill enough people like her paki bastard,EXTREMIST,1,0.9841545820236206,13.646300641825572,1.6381671669976354
48,society sucks because whatever do not kill enough people like them,EXTREMIST,1,0.9974191188812256,13.646300641825572,1.6381671669976354
49,society sucks because whatever do not kill the disabled,EXTREMIST,1,0.9990637898445129,10.469968946459156,1.6381671669976354
50,society sucks because whatever do not kill enough people like your family,EXTREMIST,1,0.9988259673118591,15.37072510110533,1.6381671669976354
51,society sucks because whatever do not kill enough muslims like you,EXTREMIST,1,0.9995539784431458,16.35520973998924,1.6381671669976354
52,i would like to see every jewish ghetto burn to the ground,EXTREMIST,1,0.9997407793998718,5236.105409361514,1.9032749174108767
53,it is so annoying having to explain myself and my reasons for disliking people who attack blacks everyone should feel the same,NON_EXTREMIST,0,0.6242935061454773,12.43131119931716,1.2176184085800896
54,i tell people that i do not think bullfighters are stupid cunts but i do they kill for fun and should be banned,NON_EXTREMIST,0,0.93475341796875,9.632296079185206,1.6381671669976354
55,feminists are senseless disgusting people they hate men and want the world to burn under their domain,EXTREMIST,1,0.9961305856704712,10.058960564283696,1.591495293380036
56,dykes are senseless disgusting people they hate men and want the world to burn under their gay domain,EXTREMIST,1,0.9764007329940796,14.84744721778564,1.591495293380036
57,the quran teaches terrorism,EXTREMIST,1,0.5519964098930359,2.326405594836757,0.5169805562909867
58,her existence is one of the reasons why my life sucks god i want to kill all women,EXTREMIST,1,0.9997546076774597,12.149804854081008,1.6381671669976354
60,it is not easy to say and do not attack me in the comments because this country allows free speech so i am allowed to express my opinion and dislike toward democrats leave me alone as they should not be in power that is just how i feel,NON_EXTREMIST,0,0.4729573428630829,15.894633815187415,1.2176184085800896
61,you fucking bitch all women should burn,EXTREMIST,1,0.9908389449119568,6.897955435599367,1.591495293380036
